Gene,CD28_CD4+,CD28_CD8+,KIR_CD4+,KIR_CD8+
GRB2,1,1,0,0
SDCBP,1,1,0,0
TRIM21,1,1,1,1
TRIM21,1,1,1,1
TJP2,1,0,0,0
CD247,1,1,0,0
TYROBP,0,0,1,1
TYROBP,0,0,1,1
SDCBP,1,1,0,0
CD28,1,1,0,0
KIR2DS1;KIR2DS2;KIR2DS4,0,0,1,1
GALNT1,0,0,1,1
SDCBP,1,1,0,0
SDCBP,1,1,0,0
SLC7A5,1,1,1,1
KIR2DS1;KIR2DS2;KIR2DS4,0,0,1,1
ZAP70,1,1,0,0
SLC7A5,1,1,1,1
GALNT1,0,0,1,1
SLC7A5,1,1,1,1
PPP1R16B,1,0,0,0
C16orf54,1,1,1,0
LGALS1,1,1,1,0
RPA3,0,0,0,1
APOE,1,1,0,0
TRIM21,1,1,1,1
HLA-E,1,1,1,1
POSTN,0,0,0,1
CLDND1,1,1,0,0
CD7,1,1,1,1
SLC16A3,1,1,1,1
TIGIT,1,1,1,1
TNK2,1,1,0,0
TTYH3,1,1,0,0
PLP2,1,1,1,0
CD7,1,1,1,1
CD28,1,1,0,0
LGALS1,1,1,1,0
TIGIT,1,1,1,1
SLC16A3,1,1,1,1
SELL,1,1,1,1
ZAP70,1,1,0,0
CD7,1,1,1,1
SELL,1,1,1,1
HLA-DQA1,1,1,1,0
GRB2,1,1,0,0
SIRPG,1,1,1,0
HLA-E,1,1,1,1
RHOH,1,1,0,0
APOE,1,1,0,0
PRNP,1,1,1,0
LGALS1,1,1,1,0
UBASH3A,1,1,0,0
IL27RA,1,1,1,0
CD247,1,1,0,0
SIRPG,1,1,1,0
LAG3,1,1,1,0
UBASH3A,1,1,0,0
SLC16A3,1,1,1,1
SELL,1,1,1,1
TRIM21,1,1,1,1
PLP2,1,1,1,0
C16orf54,1,1,1,0
SLC7A5,1,1,1,1
MCAM,1,1,0,0
LAPTM5,0,0,1,0
C16orf54,1,1,1,0
CD38,1,1,0,0
LRRC8A,1,1,1,0
TNIK,1,0,0,0
CRKL,1,1,0,0
IL12RB1,1,1,1,0
PLP2,1,1,1,0
TNK2,1,1,0,0
SLC16A1,1,1,1,0
ITM2A,1,0,0,0
RNF149,1,1,0,0
HLA-DQA1,1,1,1,0
HLA-E,1,1,1,1
FCHO1,1,1,0,0
AP2A1,1,0,1,0
CD7,1,1,1,1
SLC3A2,1,1,0,0
LDLR,1,1,1,0
CRKL,1,1,0,0
ARHGEF39,0,1,0,0
REPS1,0,0,1,0
LAG3,1,1,1,0
PTPRJ,1,1,0,0
SLC16A7,1,1,1,0
SIRPG,1,1,1,0
RHOH,1,1,0,0
TSPAN14,1,1,0,0
